Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
10017 Roosevelt Way Northeast,Seattle,Washington,98125,"Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $195), Gutter Clearing (1, $415), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Booking Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Exterior Window Cleaning (1, $330), Screen Cleaning (1, $50), Solar Panel Washing (1, $200)",195,Composite - Architectural,2190,938900,992125,N/A,,Composite - Architectural,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft,,,
10017 Roosevelt Way Northeast,Seattle,Washington,98125,"Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $195), Gutter Clearing (1, $415), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Exterior Window Cleaning (1, $330), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $50), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-100), Exterior Gutter Washing (1, $340), Track Cleaning (1, $225), Window Frame Cleaning  (1, $132), Solar Panel Cleaning (1, $380)",195,Composite - Architectural,2190,938900,992125,N/A,,Composite - Architectural,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft,,,
10019 184th Avenue Northeast,Redmond,Washington,98052,"Preventative Roof Treatment - Chemical Spray (1, $235), Preventative Roof Treatment - Zinc Powder (1, $190), Gutter Clearing (1, $360), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $305), Gutter Guard Installation (1, $1940), House Wash (1, $1325), Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $295), Screen Cleaning (1, $50), Track Cleaning (1, $208), Window Frame Cleaning  (1, $118), Window Cleaning Discount (1, $-120), Pressure Washing - Driveway (1, $480), Skylight Cleaning (1, $45)",190,Composite - Presidential,2550,1881700,1995788,N/A,,Composite - Presidential,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
10020 13th Drive Southeast,Everett,Washington,98208,"Moss Removal (1, $560), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 40' Ladder Required (1, $0), Exterior Gutter Washing (1, $265), Pressure Wash/Soft Wash - Porch/Balcony (1, $360), Booking Discount (1, $-135), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $230), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Track Cleaning (1, $195), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-50)",170,Composite - Architectural,1725,589500,595800,N/A,,Composite - Architectural,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft,,,
10021 Bayard Avenue Northwest,Seattle,Washington,98177,"Gutter Clearing (1, $340), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $155), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1560), Interior Window Cleaning (1, $480), Exterior Window Cleaning (1, $670), Screen Cleaning (1, $125), Track Cleaning (1, $408), Window Frame Cleaning  (1, $268), Window Cleaning Discount (1, $-100)",155,Composite - Architectural,3160,2465900,2474275,N/A,,Composite - Architectural,6 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,28ft,,,
10021 Bayard Avenue Northwest,Seattle,Washington,98177,"Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $340), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1560), Interior Window Cleaning (1, $480), Exterior Window Cleaning (1, $670), Screen Cleaning (1, $125), Track Cleaning (1, $408), Window Frame Cleaning  (1, $268)",155,Composite - Architectural,3160,2465900,2474275,N/A,,Composite - Architectural,6 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,28ft,,,
10021 Bayard Avenue Northwest,Seattle,Washington,98177,"Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $340), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), FALL PROMO (1, $-50), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1560), Interior Window Cleaning (1, $480), Exterior Window Cleaning (1, $670), Screen Cleaning (1, $125), Track Cleaning (1, $408), Window Frame Cleaning  (1, $268), Window Cleaning Discount (1, $-100)",155,Composite - Architectural,3160,2465900,2474275,N/A,,Composite - Architectural,6 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,28ft,,,
10022 Northeast 29th Place,Bellevue,Washington,98004,"Gutter Reattachment (1, $150), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $245), Gutter Guard Installation (1, $1685), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $310), Screen Cleaning (1, $50), Track Cleaning (1, $187), Window Frame Cleaning  (1, $124), Window Cleaning Discount (1, $-75), Skylight Cleaning (1, $60), Gutter Clearing (1, $330)",180,Composite - Presidential,4058,3589000,2507263,N/A,,Composite - Presidential,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10024 41st Avenue Northeast,Seattle,Washington,98125,"Moss Removal (1, $1250), Preventative Roof Treatment - Chemical Spray (1, $200), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-170), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $270), Gutter Guard Installation (1, $1580), House Wash (1, $1320), Interior Window Cleaning (1, $255), Exterior Window Cleaning (1, $350), Screen Cleaning (1, $65), Track Cleaning (1, $216), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-80), Pressure Washing - Driveway & Front Walkway (1, $425), Pressure Washing - Back Patio and Both Side Walkways (1, $640), Pressure Washing Discount (1, $-100)",175,Composite - Architectural,3140,1289200,1333088,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10027 40th Avenue Northeast,Seattle,Washington,98125,"Moss Removal (1, $320), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $275), Screen Cleaning (1, $40), Track Cleaning (1, $187), Window Frame Cleaning  (1, $110), Window Cleaning Discount (1, $-55)",155,Composite - Architectural,3250,1269700,1225550,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10031 Northeast 147th Street,Bothell,Washington,98011,"Moss Removal (1, $935), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $460), Exterior Window Cleaning (1, $585), Screen Cleaning (1, $90), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-110), Booking Discount (1, $-135), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $265), Track Cleaning (1, $391), Window Frame Cleaning  (1, $234)",180,Composite - Architectural,3680,1775000,1952075,2,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft,,,
10033 41st Avenue Northeast,Seattle,Washington,98125,"Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $135), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1285), House Wash (1, $985), Interior Window Cleaning (1, $140), Exterior Window Cleaning (1, $220), Screen Cleaning (1, $45), Track Cleaning (1, $119), Window Frame Cleaning  (1, $88), Pressure Washing - Driveway & Front Walkway (1, $380)",135,Composite - Architectural,3060,1574600,1272663,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
10034 Interlake Avenue North,Seattle,Washington,98133,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Pressure Washing - Driveway  (1, $495), Booking Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Moss Removal (1, $175), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $215), Gutter Guard Installation (1, $1225), House Wash (1, $940), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $220), Screen Cleaning (1, $45), Track Cleaning (1, $123), Window Frame Cleaning  (1, $88), Window Cleaning Discount (1, $-30)",140,Composite - Architectural,1620,745800,748238,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
10034 Interlake Avenue North,Seattle,Washington,98133,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Pressure washing back steps (1, $330), Pressure wasihing front curb (1, $150), 60-Day Workmanship Guarantee (1, $0), Pressure Washing - Driveway & front Steps (1, $495), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $215), Gutter Guard Installation (1, $1225), House Wash (1, $940), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $220), Screen Cleaning (1, $45), Track Cleaning (1, $123), Window Frame Cleaning  (1, $88), Window Cleaning Discount (1, $-30)",140,Composite - Architectural,1620,745800,748238,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
10034 Northeast 23rd Street,Bellevue,Washington,98004,"Skylight Cleaning (1, $75), Soft Wash - Deck or Hardwood (1, $335), Pressure Washing - Driveway  (1, $395), Exterior Window Cleaning (1, $620), Screen Cleaning Disclaimer (1, $0), Window Frame Cleaning  (2, $373), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $205), Gutter Clearing (1, $370), Exterior Gutter Washing (1, $315), Gutter Guard Installation (1, $2165), House Wash (1, $1325), Track Cleaning (1, $361)",205,Composite - Presidential,4200,4653000,2045113,N/A,,Composite - Presidential,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
10041 Southwest 25th Avenue,Portland,Oregon,97219,"Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1185), House Wash (1, $850), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $250), Screen Cleaning (1, $40), Track Cleaning (1, $165), Window Frame Cleaning  (1, $100), Window Cleaning Discount (1, $-80), Skylight Cleaning (1, $50), Pressure Washing - Driveway  (1, $440)",140,Composite - Architectural,1736,577800,672188,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
10048 8th Avenue Northwest,Seattle,Washington,98177,"Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $1040), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $205), Screen Cleaning (1, $40), Track Cleaning (1, $140), Window Frame Cleaning  (1, $82), Window Cleaning Discount (1, $-75)",135,Composite - Architectural,1200,874400,904438,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
10048 8th Avenue Northwest,Seattle,Washington,98177,"Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $1040), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $205), Screen Cleaning (1, $40), Track Cleaning (1, $140), Window Frame Cleaning  (1, $82), Window Cleaning Discount (1, $-75)",135,Composite - Architectural,1200,874400,904438,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
1005 Northeast 162nd Street,Shoreline,Washington,98155,"Moss Removal (1, $620), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-70), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $760), Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $170), Screen Cleaning (1, $25), Track Cleaning (1, $114), Window Frame Cleaning  (1, $68), Window Cleaning Discount (1, $-35)",135,Composite - Architectural,1800,723300,710388,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
10056 Northeast 197th Street,Bothell,Washington,98011,"Moss Removal (1, $485), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $125), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $220), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-85), Exterior Gutter Washing (1, $220), Interior Window Cleaning (1, $170), Track Cleaning (1, $144), Window Frame Cleaning  (1, $88)",125,Composite - Architectural,1670,870700,1215025,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft,,,
1006 Northeast 114th Avenue,Portland,Oregon,97220,"Moss Removal (1, $380), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $240), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $225), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $260), Screen Cleaning (1, $40), Track Cleaning (1, $153), Window Frame Cleaning  (1, $104), Window Cleaning Discount (1, $-60), Pressure Washing - Driveway (1, $420)",180,Composite - Architectural,1852,491900,378068,N/A,,Composite - Architectural,9 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,6ft,,,
10095 Southwest 72nd Avenue,Portland,Oregon,97223,"Gutter Clearing (1, $240), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $185), Gutter Guard Installation (1, $1180), House Wash (1, $975), Track Cleaning (1, $174), Window Frame Cleaning  (1, $106), Pressure Washing - Driveway (1, $620), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $130), Interior Window Cleaning (1, $205), Exterior Window Cleaning (1, $265), Screen Cleaning (1, $30), Window Cleaning Discount (1, $-60)",130,Composite - Architectural,1949,627100,606375,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
10103 28th Drive Southeast,Everett,Washington,98208,"Gutter Clearing (1, $295), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1450), House Wash (1, $1480), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $50), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-85), Skylight Cleaning (1, $30)",170,Composite - Architectural,1918,739500,785175,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
10107 Northeast 144th Court,Kirkland,Washington,98034,"Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Reattachment (1, $150), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $245), Gutter Guard Installation (1, $1810), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Track Cleaning (1, $191), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-70), Skylight Cleaning (1, $30)",170,Composite - Architectural,1140,863800,950788,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
1011 32nd Avenue East,Seattle,Washington,98112,"Moss Removal (1, $520), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $190), Gutter Clearing (1, $535), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-110), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $370), Interior Window Cleaning (1, $330), Exterior Window Cleaning (1, $525), Screen Cleaning (1, $40), Track Cleaning (1, $280), Window Frame Cleaning  (1, $210), Window Cleaning Discount (1, $-90)",190,Composite - Architectural,625,1484000,1688657,N/A,,Composite - Architectural,11 / 12,4 - 8,40ft,4 - 8,40ft,9 - 20,32ft,,,
10111 Northeast 16th Place,Bellevue,Washington,98004,"Exterior Window Cleaning (1, $520), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-50), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $210), Gutter Clearing (1, $380), Exterior Gutter Washing (1, $310), Interior Window Cleaning (1, $380), Screen Cleaning (1, $120), Track Cleaning (1, $323), Window Frame Cleaning  (1, $208), Window Cleaning Discount (1, $-150)",210,Composite - Architectural,5947,4700000,4307814,2,,Composite - Architectural,10 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft,,,
