Address,City,State,Zip,Gutter Clearing,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size
4200 Northwest North Road,Portland,Oregon,97229,680,Composition,3238,1047380,914956,N/A,10 / 12,4 - 8,32ft,4 - 8,32ft,20+,32ft
1403 Northeast 17th Avenue,Portland,Oregon,97232,680,Built-up,1534,508200,1063068,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,,
47 Northwest Cherry Loop,Seattle,Washington,98177,680,N/A,N/A,N/A,4677914,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
5019 Keystone Place North,Seattle,Washington,98103,680,Composition,1974,574995,357075,1,8 / 12,9 - 20,28ft,20+,32ft,20+,32ft
16020 Simonds Road Northeast,Kenmore,Washington,98028,675,Other,2242,1200000,1174413,N/A,7 / 12,1 - 3,28ft,1 - 3,32ft,9 - 20,32ft
2601 40th Avenue West,Seattle,Washington,98199,675,Metal,4722,3705000,1915513,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
20124 South Beavercreek Road,Oregon City,Oregon,97045,670,N/A,N/A,57607,922272,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
20124 South Beavercreek Road,Oregon City,Oregon,97045,670,N/A,N/A,57607,922272,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
10901 Lake Ridge Drive South,Seattle,Washington,98178,665,N/A,N/A,N/A,678950,N/A,,,,,,,
9009 View Avenue Northwest,Seattle,Washington,98117,665,N/A,3420,2304900,1589813,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
5407 West Mercer Way,Mercer Island,Washington,98040,655,N/A,3930,3759500,5423850,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,28ft
5815 212th Place Southwest,Mountlake Terrace,Washington,98043,650,Composition,1825,617500,635986,N/A,8 / 12,1 - 3,40ft,9 - 20,40ft,9 - 20,40ft
6655 135th Court Southeast,Newcastle,Washington,98059,650,Composition,1389,986900,1068038,3,8 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
17809 Southeast 58th Place,Bellevue,Washington,98006,650,N/A,5314,3007600,2541438,N/A,8 / 12,4 - 8,40ft,4 - 8,40ft,20+,40ft
23001 Southeast 41st Place,Sammamish,Washington,98075,650,N/A,3640,2183500,1846325,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
5313 Lansdowne Lane,Mercer Island,Washington,98040,645,N/A,3160,2810300,2479175,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5313 Lansdowne Lane,Mercer Island,Washington,98040,645,N/A,3160,2810300,2479175,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1141 North 91st Street,Seattle,Washington,98103,645,N/A,320,N/A,4012000,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,20+,40ft
5313 Lansdowne Lane,Mercer Island,Washington,98040,645,N/A,3160,2810300,2479175,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
12316 202nd Avenue Northeast,Woodinville,Washington,98077,640,N/A,3330,2131500,2178775,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
8120 Talbot Road,Edmonds,Washington,98026,635,Composition,5298,2622400,1667713,N/A,,,,,,,
16525 174th Avenue Northeast,Woodinville,Washington,98072,630,Composition,2790,1492300,1129988,N/A,,,,,,,
15719 Northeast 136th Place,Redmond,Washington,98052,630,Composition,3350,1955800,2451150,N/A,10 / 12,1 - 3,28ft,9 - 20,28ft,9 - 20,28ft
17710 234th Avenue Southeast,Maple Valley,Washington,98038,630,Composition,7089,2892300,1549243,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
5743 Old Woods Lane Northeast,Bainbridge Island,Washington,98110,625,Metal,6274,2543200,830605,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
5743 Old Woods Lane Northeast,Bainbridge Island,Washington,98110,625,Metal,6274,2543200,830605,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
3773 Northeast 153rd Street,Lake Forest Park,Washington,98155,625,N/A,4200,2162500,1641475,N/A,7 / 12,1 - 3,28ft,9 - 20,28ft,9 - 20,28ft
23349 Southeast 51st Place,Issaquah,Washington,98029,625,N/A,4449,2337400,2253025,N/A,,,,,,,
13629 3rd Drive Southeast,Everett,Washington,98208,620,Composition,4150,1882500,1399163,N/A,12 / 12,4 - 8,20ft,9 - 20,20ft,9 - 20,20ft
5681 169th Place Southeast,Bellevue,Washington,98006,620,Shake / Shingle,4365,2987100,3026275,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
4936 Northwest Sierra Court,Camas,Washington,98607,620,Tile,4547,1400000,1279816,2,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
5681 169th Place Southeast,Bellevue,Washington,98006,620,Shake / Shingle,4365,2987100,3026275,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
11158 79th Place Northeast,Kirkland,Washington,98034,615,N/A,4010,2721100,3524000,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
21825 4th Avenue South,Normandy Park,Washington,98198,615,Composition,6147,3400200,1413013,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,20+,32ft
13526 476th Avenue Southeast,North Bend,Washington,98045,615,Composition,2850,1825000,1408685,2,11 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft
21825 4th Avenue South,Normandy Park,Washington,98198,615,Composition,6147,3400200,1413013,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,20+,32ft
48 1st Street,Fairview,Oregon,97024,615,Composition,1974,574995,357075,1,,,,,,,
4210 270th Avenue Northeast,Redmond,Washington,98053,615,Metal,7100,2668400,1279471,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
4846 Railroad Avenue Northeast,Seattle,Washington,98105,600,N/A,1600,777100,698888,N/A,8 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
1330 289th Avenue Northeast,Carnation,Washington,98014,600,N/A,6454,3469800,2716250,N/A,10 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,28ft
4904 Linden Avenue North,Seattle,Washington,98103,595,Composition,1650,970000,990688,Multi/Split,7 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
2501 12th Avenue West,Seattle,Washington,98119,595,N/A,2890,1884600,1232699,N/A,8 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
7265 172nd Avenue Southeast,Bellevue,Washington,98006,590,N/A,5970,3242400,3006888,N/A,7 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
18298 South Grasle Road,Oregon City,Oregon,97045,590,Other,6509,1908500,1338835,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
3904 Northeast 105th Street,Seattle,Washington,98125,590,Metal,3300,1283500,860738,N/A,,,,,,,
9232 17th Avenue Southwest Unit A & B,Seattle,Washington,98106,590,N/A,1180,424100,647513,N/A,,,,,,,
13727 Greenwood Avenue North,Seattle,Washington,98133,585,Composition,3760,1226000,585160,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
7845 Northeast 14th Street,Medina,Washington,98039,585,Composition,6100,5196900,2889513,N/A,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
1907 205th Place Northeast,Sammamish,Washington,98074,585,N/A,5140,2880200,2482725,N/A,10 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,28ft
2009 96th Avenue Northeast,Clyde Hill,Washington,98004,585,N/A,4580,5414200,4720088,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
3000 Webster Point Road Northeast,Seattle,Washington,98105,585,N/A,5520,7168300,5739688,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
5055 51st Avenue Southwest,Seattle,Washington,98136,580,N/A,3020,1974100,1392925,N/A,8 / 12,4 - 8,40ft,4 - 8,40ft,20+,32ft
9436 35th Avenue Southwest,Seattle,Washington,98126,580,N/A,1300,585900,524317,N/A,8 / 12,1 - 3,40ft,1 - 3,,20+,32ft
102 18th Avenue East,Seattle,Washington,98112,580,Composition,5590,2412700,645367,N/A,8 / 12,4 - 8,40ft,4 - 8,40ft,20+,40ft
1500 Northwest Ivy Street,Camas,Washington,98607,575,Composition,3360,1921000,1252894,N/A,,,,,,,
17095 Southeast 65th Place,Bellevue,Washington,98006,575,Composition,4816,2578600,2788488,N/A,8 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,32ft
19508 Northeast 143rd Street,Woodinville,Washington,98077,575,N/A,4230,2418000,2095213,N/A,12 / 12,4 - 8,32ft,20+,32ft,9 - 20,32ft
12661 Northwest Waker Drive,Portland,Oregon,97229,575,Shake / Shingle,3486,1128900,1187550,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
3813 82nd Avenue Southeast,Mercer Island***,Washington,98040,575,N/A,5358,3674500,2057300,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
3813 82nd Avenue Southeast,Mercer Island,Washington,98040,575,N/A,5358,3674500,2057300,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
9641 Northeast 29th Street,Clyde Hill,Washington,98004,575,N/A,5900,5173400,3671513,N/A,6 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
1500 Northwest Ivy Street,Camas,Washington,98607,575,Composition,3360,1921000,1252894,N/A,,,,,,,
925 18th Avenue East,Seattle,Washington,98112,570,Built-up,3076,2128100,2243425,N/A,8 / 12,4 - 8,32ft,4 - 8,32ft,20+,28ft
101 97th Avenue Northeast,Bellevue,Washington,98004,570,Other,4972,4705400,4258688,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
15840 Southeast 45th Street,Bellevue,Washington,98006,565,Metal,5086,2739500,1980725,N/A,6 / 12,4 - 8,32ft,9 - 20,32ft,9 - 20,32ft
19925 Northeast 129th Street,Woodinville,Washington,98077,560,Other,5091,2797500,2881025,N/A,12 / 12,1 - 3,32ft,4 - 8,32ft,4 - 8,32ft
425 East Lake Sammamish Shore Lane Northeast,Sammamish,Washington,98074,555,N/A,4950,7364200,5643588,N/A,9 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
714 Sommerset Road,Woodland,Washington,98674,550,Composition,4308,1579000,820384,2,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
5534 South Holly Street,Seattle,Washington,98118,550,Composition,4800,2069600,1297225,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
5534 South Holly Street,Seattle,Washington,98118,550,Composition,4800,2069600,1293538,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
14107 180th Avenue Northeast,Redmond,Washington,98052,550,N/A,2600,1560300,1432800,N/A,10 / 12,4 - 8,28ft,4 - 8,28ft,4 - 8,28ft
4503 177th Avenue Southeast,Bellevue,Washington,98006,550,N/A,3900,2453400,2050875,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,20+,32ft
9776 Marine View Drive,Mukilteo,Washington,98275,550,N/A,3628,1700000,1695913,2,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
1008 Washington Place East,Seattle,Washington,98112,550,Shake / Shingle,2320,1570200,1507625,N/A,10 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
1008 Washington Place East,Seattle,Washington,98112,550,Shake / Shingle,2320,1570200,1507625,N/A,10 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
2318 Belvidere Avenue Southwest,Seattle,Washington,98126,550,Metal,6090,3562400,1872514,N/A,10 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
1414 Market Street,Kirkland,Washington,98033,550,N/A,6185,4532000,1984414,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
26339 Southeast 33rd Street,Sammamish,Washington,98075,545,Composition,3700,2026300,2181288,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
8240 Southeast 59th Street,Mercer Island,Washington,98040,545,Composition,6460,4755000,2798350,2,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
9123 196th Street Southwest,Edmonds,Washington,98026,540,Composition,3095,1600000,1237288,N/A,,,,,,,
4005 East Highland Drive,Seattle,Washington,98112,540,Other,6060,5557000,3788325,N/A,12 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
4005 East Highland Drive,Seattle,Washington,98112,540,Other,6060,5557000,3788325,N/A,12 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
4005 East Highland Drive,Seattle,Washington,98112,540,Other,6060,5557000,3788325,N/A,12 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
17925 Northwest Germantown Road,Portland,Oregon,97231,540,Shake / Shingle,3668,1453900,1294725,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
1209 Evergreen Point Road,Medina,Washington,98039,535,Tile,4700,5047500,7474313,N/A,10 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
1011 32nd Avenue East,Seattle,Washington,98112,535,N/A,625,1484000,1688657,N/A,11 / 12,4 - 8,40ft,4 - 8,40ft,9 - 20,32ft
1209 Evergreen Point Road,Medina,Washington,98039,535,Tile,4700,5047500,7474313,N/A,10 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
4730 9th Avenue Northeast,Seattle,Washington,98105,535,N/A,900,1050,2639,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,20+,40ft
6235 Southwest Parkhill Drive,Portland,Oregon,97239,535,Metal,3257,1361640,515924,N/A,5 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
934 18th Avenue,Seattle,Washington,98122,535,N/A,2800,1187600,1240417,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
15615 29th Avenue Southeast,Mill Creek,Washington,98012,530,Tile,2724,1420600,1450329,N/A,11 / 12,20+,32ft,20+,32ft,20+,32ft
24817 Southeast 165th Street,Issaquah,Washington,98027,530,N/A,5100,1708900,1092113,N/A,,,,,,,
22013 Northeast 26th Place,Sammamish,Washington,98074,530,N/A,3610,1798900,1492025,N/A,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
4607 Forest Avenue Southeast,Mercer Island,Washington,98040,530,N/A,7590,7822900,5386988,N/A,5 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,32ft
805 14th Avenue East,Seattle,Washington,98112,530,N/A,6010,5020600,3856217,N/A,6 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
805 14th Avenue East,Seattle,Washington,98112,530,N/A,6010,5020600,3856217,N/A,6 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5603 West Mercer Way,Mercer Island,Washington,98040,525,Composition,1974,574995,357075,1,10 / 12,4 - 8,32ft,9 - 20,32ft,9 - 20,32ft
4551 West Raye Street,Seattle,Washington,98199,525,N/A,900,4247000,2398138,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,20+,40ft
15409 Southeast 66th Place,Bellevue,Washington,98006,525,Composition,3985,1900000,2029900,2,,,,,,,
25921 Northeast 42nd Place,Redmond,Washington,98053,525,N/A,4740,2386300,1259271,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
12628 Southeast 78th Place,Newcastle,Washington,98056,525,Composition,4023,1501100,1502163,N/A,,,,,,,
409 Northeast 155th Street Unit C,Shoreline,Washington,98155,525,Composition,2040,760000,777688,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,28ft
5736 111th Avenue Southeast,Bellevue,Washington,98006,525,N/A,2890,1714100,1863938,N/A,6 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,20ft
23916 Southeast 25th Court,Sammamish,Washington,98075,525,N/A,3110,1663900,1517725,N/A,10 / 12,,,1 - 3,32ft,4 - 8,32ft
23916 Southeast 25th Court,Sammamish,Washington,98075,525,N/A,3110,1663900,1517725,N/A,10 / 12,,,1 - 3,32ft,4 - 8,32ft
6010 East Mercer Way,Mercer Island,Washington,98040,525,Metal,3600,5352700,4108113,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
6010 East Mercer Way,Mercer Island,Washington,98040,525,Metal,3600,5352700,4108113,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
3505 East Olive Street,Seattle,Washington,98122,525,Composition,4140,2953800,2351775,N/A,,,,,,,
3908 West Barrett Street,Seattle,Washington,98199,525,Tile,3500,2529300,2446675,N/A,6 / 12,1 - 3,32ft,4 - 8,32ft,20+,32ft
1429 7th Avenue West,Seattle,Washington,98119,525,N/A,3330,3604000,3880525,N/A,12 / 12,1 - 3,40ft,9 - 20,40ft,9 - 20,32ft
186 131st Avenue North East,Bellevue,Washington,98005,520,N/A,1910,3425300,1951075,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
2356 Broadway East,Seattle,Washington,98102,520,Composition,4480,2190100,667913,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
9052 140th Avenue Southeast,Newcastle,Washington,98059,515,N/A,3420,2093300,2113925,N/A,9 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,32ft
3727 West Barrett Street,Seattle,Washington,98199,515,Composition,4870,2900000,1868275,2,7 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
24507 Northeast 77th Place,Redmond,Washington,98053,515,Shake / Shingle,3740,1914800,1781688,N/A,9 / 12,4 - 8,28ft,9 - 20,28ft,9 - 20,28ft
9216 Southeast 33rd Place,Mercer Island,Washington,98040,515,Tile,5490,7993000,5453829,N/A,,,,,,,
2012 Grade Road,Lake Stevens,Washington,98258,515,N/A,N/A,N/A,2271350,N/A,,,,,,,
9168 Northeast 25th Place,Bellevue,Washington,98004,515,N/A,3670,3700400,4847138,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,4 - 8,28ft
706 Southwest 174th Place,Normandy Park,Washington,98166,515,N/A,2980,1324600,1467325,N/A,12 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
6103 36th Avenue Northwest,Seattle,Washington,98107,515,Metal,3400,1812600,1893275,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
